v3_1,v3_2,v3_3,v4_1,v4_2,v4_3,v4_4,v5_1,v5_2,v5_3,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v9_1,v9_2,v9_3,v12,v13,v14
2,2,2,3,4,4,3,4,4,4,4,4,3,3,2,3,3,2,3,2,2,3,3,2,2,25,4
3,2,4,4,4,4,4,2,2,2,3,4,3,2,2,4,3,2,2,2,2,3,3,2,1,24,4
2,4,4,3,4,2,2,5,5,5,4,4,4,3,4,4,2,2,2,2,2,3,3,3,2,22,3
3,3,3,2,3,2,3,2,4,3,2,3,3,3,3,2,3,4,2,3,2,4,3,3,1,24,1
4,4,3,4,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,4,4,3,1,24,5
2,3,4,2,3,1,1,5,5,3,2,2,4,2,2,4,4,4,4,2,2,4,4,4,2,23,3
2,3,4,4,4,4,3,5,5,5,5,5,5,3,2,3,3,3,3,2,1,4,4,4,2,22,5
3,4,4,3,3,4,3,5,5,5,4,4,5,2,2,3,3,2,2,2,2,4,4,4,2,24,7
3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,20,1
4,3,2,3,3,4,3,4,4,4,4,4,4,2,2,3,3,2,2,2,2,3,2,2,2,22,1
3,3,4,3,4,3,3,5,5,5,3,4,4,3,4,4,4,3,3,3,3,4,4,4,2,23,4
2,3,3,2,2,1,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,22,3
4,3,1,3,3,4,3,2,4,3,4,4,3,4,4,3,3,2,3,3,4,4,3,4,2,20,3
4,3,4,2,4,5,5,5,4,4,4,4,4,2,2,4,3,3,3,2,2,4,4,4,2,25,6
2,2,3,4,3,3,3,5,5,5,1,2,2,2,3,3,3,2,3,2,3,3,3,3,2,22,7
3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,4,4,3,3,2,3,3,3,3,2,22,3
1,1,1,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,1,26,3
4,4,4,4,4,3,3,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,4,1,25,3
2,4,4,3,3,2,2,3,4,1,4,4,4,2,1,3,2,1,1,1,1,4,4,3,1,26,6
3,4,4,4,4,4,2,4,4,4,4,4,4,3,2,4,4,3,2,2,2,3,3,4,2,20,2
2,3,4,2,3,3,2,3,3,4,3,3,2,2,2,4,4,3,2,1,1,3,3,3,2,23,3
2,4,2,3,4,2,2,5,5,5,4,4,4,3,3,4,4,3,3,1,1,4,4,3,2,22,4
3,4,4,2,4,5,3,5,5,5,5,5,4,2,2,3,2,1,1,1,1,5,5,4,1,24,6
2,2,4,4,4,4,4,4,4,4,2,2,2,2,1,3,2,1,1,1,1,4,5,4,2,21,7
2,2,3,3,4,4,4,5,5,5,4,4,2,3,2,3,4,4,4,3,3,4,3,3,2,21,3
2,4,3,3,5,3,3,5,3,4,4,4,4,3,4,3,2,3,4,2,2,4,4,4,2,22,3
2,4,3,4,4,4,4,3,3,3,1,3,3,2,2,2,3,2,1,2,2,3,3,2,1,25,5
3,3,4,3,3,3,3,5,5,4,3,2,3,3,2,3,3,2,2,2,2,4,4,4,2,25,3
3,3,3,4,3,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,24,4
3,3,4,4,4,4,4,2,2,2,3,4,3,2,2,2,2,2,2,2,2,4,4,4,1,20,2
2,3,3,4,4,2,2,4,4,5,4,4,4,2,2,4,3,3,4,2,2,4,4,4,2,24,4
2,2,4,3,3,2,2,4,4,4,4,4,4,2,2,4,4,3,3,2,2,3,3,4,2,23,4
3,3,4,4,4,4,4,3,3,2,4,4,2,3,2,3,3,2,2,2,2,4,4,4,2,24,7
2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,2,22,7
2,2,3,3,4,4,4,4,3,1,4,3,1,3,2,4,3,2,2,2,2,4,4,4,2,21,4
4,4,3,4,4,4,2,5,5,5,2,4,4,4,2,5,4,3,4,2,2,4,4,3,2,23,2
2,3,3,4,4,2,3,5,5,5,3,4,5,2,1,2,2,1,1,1,1,4,4,3,2,22,2
3,3,3,3,2,2,2,5,5,5,5,5,5,3,3,3,5,1,1,1,1,1,1,1,2,22,3
3,3,4,4,4,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,1,20,1
2,3,2,3,3,2,3,5,5,5,5,5,5,3,4,4,4,4,3,2,2,3,3,4,2,24,3
4,4,4,4,4,4,4,2,2,2,1,1,1,3,1,4,3,4,4,1,1,4,4,3,2,21,5
3,3,3,3,4,4,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,25,3
4,4,3,4,5,1,2,4,4,4,4,4,4,3,2,4,4,4,4,2,2,4,4,4,2,21,3
3,4,4,2,4,4,4,5,5,5,3,5,5,2,1,1,1,1,1,1,1,5,5,5,2,21,6
3,3,3,4,3,4,2,3,4,3,4,2,3,3,4,4,4,3,4,4,3,4,4,3,1,24,4
2,2,4,3,3,3,3,5,5,5,5,4,4,2,1,3,3,2,2,1,1,5,5,5,2,22,4
2,2,4,4,4,3,3,5,5,5,2,4,3,3,3,4,2,2,2,2,3,4,4,4,2,22,3
4,2,3,3,2,1,1,1,1,1,3,4,2,3,1,4,3,3,3,1,1,3,3,2,1,25,5
3,3,3,3,4,4,3,5,5,3,2,3,4,3,2,2,1,1,1,2,2,2,3,2,2,23,3
3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,1,24,7
3,4,4,4,4,2,2,5,5,2,4,4,4,2,2,2,2,2,2,2,2,4,4,3,1,24,4
3,3,5,2,5,5,3,5,5,5,5,5,5,2,1,5,5,3,1,1,1,4,4,4,2,20,3
3,2,3,2,2,2,2,5,2,5,5,5,5,2,1,5,4,2,2,1,1,5,5,5,2,22,3
4,4,3,4,4,4,4,2,3,2,4,4,2,1,1,3,3,2,3,1,1,3,2,3,2,22,2
3,4,4,3,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2,2,2,3,3,3,2,22,3
2,3,4,2,4,2,3,4,4,5,4,3,3,4,3,4,4,3,3,2,2,4,4,4,2,24,4
4,4,5,4,4,2,3,4,4,5,5,5,5,2,2,1,1,1,1,1,1,5,4,5,2,22,5
3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,2,2,4,3,4,2,21,6
2,2,3,2,4,3,3,3,4,4,2,3,4,2,1,2,1,2,2,1,1,4,3,3,2,21,4
3,4,4,3,4,4,2,4,2,2,3,3,4,2,1,3,2,2,2,1,1,4,4,3,2,21,2
3,2,3,4,4,3,4,5,5,5,4,4,4,2,2,3,3,3,3,1,1,4,4,4,2,22,3
4,4,4,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,24,4
2,2,4,4,4,4,4,1,1,1,4,4,4,2,1,1,1,1,1,1,1,4,4,3,1,25,2
3,3,4,4,4,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,1,24,6
4,4,4,4,4,2,3,5,3,4,4,4,2,3,2,4,4,5,4,1,2,4,3,2,2,21,4
3,3,4,4,4,2,2,4,4,4,2,3,3,3,2,3,3,2,2,2,2,3,3,3,1,27,5
3,4,4,3,4,2,2,2,2,2,3,4,2,2,1,3,3,2,2,2,2,4,3,3,1,25,1
2,3,4,4,4,2,4,4,4,4,2,4,3,3,3,4,4,4,3,2,3,3,3,3,2,22,4
2,2,3,3,2,2,2,4,4,4,4,4,4,3,2,4,3,3,3,2,2,3,3,3,2,23,3
2,2,4,4,4,3,3,5,5,5,3,4,3,2,2,2,2,2,2,2,2,4,4,4,2,23,3
3,3,4,3,4,4,3,5,5,5,5,5,5,2,2,3,2,2,3,1,1,4,4,4,2,23,3
3,2,3,3,3,3,3,2,2,4,4,4,4,2,1,1,1,1,2,1,3,3,3,3,1,24,3
3,2,2,4,3,1,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,5,5,5,1,21,2
5,5,5,5,5,5,5,1,2,4,3,2,4,1,1,4,1,1,1,1,1,4,4,4,2,22,4
3,4,4,3,4,3,4,4,4,4,4,4,5,3,2,4,4,3,3,2,2,4,3,3,2,24,6
2,2,3,3,3,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,4,2,1,24,3
4,4,4,4,3,1,2,4,4,3,2,2,2,3,3,3,3,3,2,1,1,4,4,3,1,25,2
3,4,4,4,4,4,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,4,1,25,7
2,2,2,3,3,3,2,2,4,3,5,4,2,2,4,4,3,3,2,3,4,4,3,2,1,26,5
3,3,3,2,3,4,3,4,4,4,4,4,4,4,2,3,2,2,2,2,2,3,3,3,1,24,2
2,2,3,3,3,4,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,4,4,3,1,24,2
3,3,4,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,21,3
3,2,2,2,2,2,3,1,1,1,4,5,4,3,3,3,2,2,2,2,3,4,4,2,1,24,1
2,2,3,3,3,2,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,23,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,21,3
2,4,4,4,4,4,3,4,2,4,4,4,4,3,2,3,3,2,2,1,1,4,4,3,2,20,4
3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,1,24,5
4,4,4,3,3,3,4,3,5,5,4,4,4,2,2,4,2,3,3,2,2,4,4,3,2,22,4
3,3,3,3,2,2,2,2,1,1,1,3,1,3,3,3,3,2,2,2,1,4,4,2,1,23,5
2,3,3,3,3,3,3,4,3,5,4,4,4,1,1,3,1,1,1,1,2,4,4,5,2,22,7
3,3,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,2,2,2,2,4,4,3,2,23,3
2,2,3,3,3,3,3,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,4,2,1,24,5
3,4,3,3,3,4,2,4,4,2,4,4,1,2,2,2,2,1,1,1,1,4,4,3,1,24,4
2,3,3,3,2,2,2,4,4,4,4,4,4,3,1,3,3,2,2,1,1,4,4,3,1,26,6
2,3,2,3,3,3,3,2,2,2,2,2,2,3,2,4,2,2,2,2,2,4,3,2,1,25,4
3,3,3,2,4,3,2,5,5,5,3,4,4,2,1,2,3,3,3,1,1,4,4,4,2,23,3
4,4,4,4,4,4,4,3,3,3,4,4,4,3,2,2,2,1,2,2,2,5,5,5,2,20,4
3,2,4,4,4,1,4,5,5,5,5,5,5,2,1,2,1,1,1,1,1,4,4,4,2,25,3
2,1,3,2,3,2,2,5,5,5,3,3,3,3,4,2,3,2,2,3,2,4,4,2,1,25,4
2,2,2,2,2,2,2,1,2,1,1,1,1,3,2,2,2,2,1,1,1,4,4,2,1,24,5
3,4,4,3,3,2,3,4,3,3,4,4,4,3,2,4,3,3,2,2,2,3,3,4,2,23,3
1,1,2,4,4,2,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,5,4,1,25,5
4,3,3,4,4,3,4,1,1,1,4,4,2,3,1,2,2,1,2,1,1,3,3,3,1,25,4
2,4,5,4,3,4,4,3,3,3,5,5,5,2,2,4,1,1,1,1,1,5,5,5,1,25,6
4,4,4,3,4,5,4,4,4,4,4,4,4,2,2,3,2,2,2,1,1,4,4,4,2,22,6
4,4,4,3,4,4,4,3,2,2,2,3,2,2,2,2,2,2,2,1,2,4,4,4,1,25,7
3,3,4,4,4,4,4,4,4,4,2,3,2,3,3,3,3,2,2,2,2,4,4,3,1,25,5
3,4,4,2,4,4,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,3,4,2,23,3
3,3,5,4,4,3,3,5,5,5,5,4,4,2,2,2,2,2,2,1,1,4,4,4,2,22,3
3,4,4,3,3,3,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,3,1,24,3
2,3,4,4,2,2,2,5,5,5,3,3,3,3,2,4,4,2,2,2,2,4,3,4,2,25,3
3,4,4,3,4,4,3,5,5,5,4,4,4,3,2,4,3,2,2,2,2,5,5,4,2,23,4
2,2,3,3,3,3,3,4,4,3,4,4,3,3,3,4,4,4,4,3,3,4,3,3,2,22,3
3,4,2,3,3,3,3,5,5,5,4,4,4,2,4,4,2,2,2,2,2,4,4,4,2,23,3
4,4,4,5,3,4,3,5,4,5,2,3,2,2,4,4,3,3,3,2,3,4,4,5,2,22,3
4,3,3,3,4,4,3,4,5,3,4,4,2,4,2,3,3,2,2,2,2,4,4,3,1,26,4
4,4,4,3,4,2,3,5,5,5,5,5,5,2,1,5,4,4,4,1,1,4,4,4,2,22,4
3,2,3,3,3,2,2,1,1,1,2,3,2,3,3,2,3,3,3,2,3,3,3,3,1,27,6
2,3,4,4,4,2,3,4,4,4,2,4,4,3,3,4,4,3,3,3,3,4,3,4,2,21,2
3,3,5,3,4,4,4,4,4,5,4,4,5,2,2,2,2,2,2,2,2,4,4,4,2,21,3
3,4,4,4,4,5,4,5,5,5,5,5,5,3,2,4,3,3,3,1,3,4,4,4,2,21,2
4,4,4,3,4,4,3,4,5,4,4,4,4,2,1,3,3,2,2,1,1,3,3,2,2,20,3
4,3,2,3,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,2,2,1,26,5
4,3,3,3,4,3,3,4,4,4,2,4,3,4,2,2,2,2,2,2,2,3,4,3,1,24,3
3,4,4,2,4,4,4,4,4,4,1,1,3,2,2,3,2,2,3,1,1,4,4,4,1,26,5
3,3,3,4,3,3,3,2,2,2,4,4,4,2,2,2,2,2,2,1,1,4,4,3,1,25,4
2,2,3,3,3,3,3,4,4,4,2,3,2,3,1,3,2,2,2,1,1,4,4,3,1,26,7
4,3,4,3,4,3,3,5,5,5,4,4,4,2,3,5,3,2,2,1,1,4,4,4,2,21,4
